LOCALES,,,,,,,,,,,,,,DEPARTAMENTOS,,,,,,,,,,
DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,USDM2,PESOSM2,ANTIG,EN_GALERIA,COTIZ_,TRIMESTRE_,BARRIOS_,COMUNA_,,,Direccion,PropiedadS,Dolares,Pesos,DolaresM2,PesosM2,Ambientes,Cotizacion,Trimestre,Barrio,Comunas
"CALVO, CARLOS 300",200,1200000,98400000,6000,492000,0,,82,CUARTO,SAN TELMO,1,,,C Calvo 1656,34,90000,5760000,2889,184912,1,64,SEGUNDO,CONSTITUCION,1
BOLIVAR 800,504,600000,49200000,1190,97619,0,,82,CUARTO,SAN TELMO,1,,,Salta 1173 -  12° 1 100,31,73095,4678080,2344,150035,1,64,SEGUNDO,CONSTITUCION,1
MONROE 3100,660,1950000,159900000,2954,242273,5,,82,CUARTO,BELGRANO,13,,,Bernardo de Irigoyen 1400,32,71400,4569600,2251,144061,1,64,SEGUNDO,CONSTITUCION,1
BLANCO ENCALADA 2166,84,165000,13530000,1964,161071,0,,82,CUARTO,BELGRANO,13,,,Bernardo de Irigoyen 1400,32,83700,5356800,2639,168878,1,64,SEGUNDO,CONSTITUCION,1
CABILDO 2300,220,2400000,196800000,10909,894545,35,,82,CUARTO,BELGRANO,13,,,Bernardo de Irigoyen 1400,32,72800,4659200,2295,146885,1,64,SEGUNDO,CONSTITUCION,1
DEL LIBERTADOR 5900,140,800000,65600000,5714,468571,0,,82,CUARTO,BELGRANO,13,,,Bernardo de Irigoyen 1400,32,74300,4755200,2342,149912,1,64,SEGUNDO,CONSTITUCION,1
BLANCO ENCALADA 2272,53,290000,23780000,5472,448679,0,,82,CUARTO,BELGRANO,13,,,Bernardo de Irigoyen 1400,32,75700,4844800,2386,152736,1,64,SEGUNDO,CONSTITUCION,1
CABILDO 15500,22,155000,12710000,7046,577727,40,,82,CUARTO,BELGRANO,13,,,Bernardo de Irigoyen 1400,32,78900,5049600,2487,159193,1,64,SEGUNDO,CONSTITUCION,1
JURAMENTO 1500,20,179000,14678000,8950,733900,35,,82,CUARTO,BELGRANO,13,,,Bernardo de Irigoyen 1400,32,82127,5256128,2589,165704,1,64,SEGUNDO,CONSTITUCION,1
BLANCO ENCALADA 2166,84,165000,13530000,1964,161071,0,,82,CUARTO,BELGRANO,13,,,Bernardo de Irigoyen al 1418 0,37,71200,4556800,2225,142400,2,64,SEGUNDO,CONSTITUCION,1
ZAPIOLA 1790,48,70000,5740000,1458,119583,40,,82,CUARTO,BELGRANO,13,,,"CALVO, CARLOS 1183",36,74000,4736000,2312,148000,1,64,SEGUNDO,CONSTITUCION,1
MONROE 2700,129,265000,21730000,2054,168450,0,,82,CUARTO,BELGRANO,13,,,"CALVO, CARLOS 1183",36,76000,4864000,2375,152000,1,64,SEGUNDO,CONSTITUCION,1
MONROE 2675,166,438000,35916000,1696,216361,0,,82,CUARTO,BELGRANO,13,,,Carlos Calvo 1183,36,77564,4964096,2424,155128,1,64,SEGUNDO,CONSTITUCION,1
ROOSEVELT FRANKLIN D. 1702,220,850000,69700000,3864,316818,0,,82,CUARTO,BELGRANO,13,,,San Jose Al 1700,32,69000,4416000,2156,138000,2,64,SEGUNDO,CONSTITUCION,1
MIGUELETES 2200,191,785396,64402472,4112,337186,0,,82,CUARTO,BELGRANO,13,,,Carlos Calvo 1183,36,73080,4677120,2284,146160,1,64,SEGUNDO,CONSTITUCION,1
MONROE 3800,22,34000,2788000,1546,126727,30,,82,CUARTO,BELGRANO,13,,,"CALVO, CARLOS 1183",36,83500,5344000,2609,167000,1,64,SEGUNDO,CONSTITUCION,1
CIUDAD DE LA PAZ 2500,354,420000,34440000,1186,97288,0,,82,CUARTO,BELGRANO,13,,,"CALVO, CARLOS 1183",36,77176,4939264,2412,154352,1,64,SEGUNDO,CONSTITUCION,1
"PEREZ, ROQUE 3200",111,280000,22960000,2522,206847,7,,82,CUARTO,COGHLAN,12,,,Carlos Calvo 1183,36,78728,5038592,2460,157456,1,64,SEGUNDO,CONSTITUCION,1
"BALBIN, RICARDO, DR. 2700",160,1250000,102500000,7812,640625,35,,82,CUARTO,COGHLAN,12,,,Bernardo de Irigoyen 1400,35,70000,4480000,2188,140000,2,64,SEGUNDO,CONSTITUCION,1
IBERA 3300,42,120000,9840000,2857,234286,54,,82,CUARTO,COGHLAN,12,,,Av. Brasil y Virrey Cevallos 0,35,55000,3520000,1719,110000,2,64,SEGUNDO,CONSTITUCION,1
WASHINGTON 2700,30,80000,6560000,2667,218667,33,,82,CUARTO,COGHLAN,12,,,Av. San Juan al 1400 0,32,79000,5056000,2469,158000,1,64,SEGUNDO,CONSTITUCION,1
"RIVERA, PEDRO I., Dr. 4000",53,75000,6150000,1415,116038,0,,82,CUARTO,COGHLAN,12,,,"CALVO, CARLOS 1183",36,67498,4319872,2109,134996,1,64,SEGUNDO,CONSTITUCION,1
"FREIRE, RAMON, CAP. GRAL. 2800",26,85000,6970000,3269,268077,20,,82,CUARTO,COGHLAN,12,,,Carlos Calvo 1183,36,76418,4890752,2388,152836,1,64,SEGUNDO,CONSTITUCION,1
"UGARTE, MANUEL 3500",85,175000,14350000,2059,168824,45,,82,CUARTO,COGHLAN,12,,,"CALVO, CARLOS 1183",36,69538,4450432,2173,139076,1,64,SEGUNDO,CONSTITUCION,1
"BALBIN, RICARDO, DR. 3500",71,28000,2296000,394,32338,0,,82,CUARTO,COGHLAN,12,,,"CALVO, CARLOS 1183",36,71639,4584896,2239,143278,1,64,SEGUNDO,CONSTITUCION,1
MELIAN 3500,260,450000,36900000,1731,141923,0,,82,CUARTO,COGHLAN,12,,,Sgo.del Estero esq.Cochabamba 0,44,53000,3392000,1656,106000,2,64,SEGUNDO,CONSTITUCION,1
CONDE 2700,43,40000,3280000,930,76279,0,,82,CUARTO,COGHLAN,12,,,AVDA BERNARDO DE IRIGOYEN 1428,32,82730,5294720,2585,165460,2,64,SEGUNDO,CONSTITUCION,1
AGUILAR 2690,30,195000,15990000,6500,533000,20,,82,CUARTO,COLEGIALES,13,,,9 de Julio Estudios 2 0,32,84851,5430464,2652,169702,2,64,SEGUNDO,CONSTITUCION,1
ELCANO 3300,173,1250000,102500000,7225,592486,10,,82,CUARTO,COLEGIALES,13,,,9 de Julio Estudios 2 0,32,85428,5467392,2670,170856,2,64,SEGUNDO,CONSTITUCION,1
"NEWBERY, JORGE 3400",145,450000,36900000,3103,254483,0,,82,CUARTO,COLEGIALES,13,,,9 de Julio Estudios 2 0,32,89842,5749888,2808,179684,2,64,SEGUNDO,CONSTITUCION,1
"LACROZE, FEDERICO 2500",128,330000,27060000,2578,211406,50,,82,CUARTO,COLEGIALES,13,,,9 de Julio Estudios 2 0,32,91506,5856384,2860,183012,2,64,SEGUNDO,CONSTITUCION,1
PALPA 3500,955,645000,52890000,675,55382,50,,82,CUARTO,COLEGIALES,13,,,Bernardo de Irigoyen al 1400 0,32,82947,5308608,2592,165894,1,64,SEGUNDO,CONSTITUCION,1
"NEWBERY, JORGE 3400",145,450000,36900000,3103,254483,3,,82,CUARTO,COLEGIALES,13,,,9 de Julio Estudios 2 - UNIDAD D 0,32,83187,5323968,2600,166374,1,64,SEGUNDO,CONSTITUCION,1
"ALVAREZ, THOMAS 11000",237,660000,54120000,2785,228354,0,,82,CUARTO,COLEGIALES,13,,,9 de Julio Estudios 2 0,32,86515,5536960,2704,173030,2,64,SEGUNDO,CONSTITUCION,1
"LORETO, Virrey 3600",162,180000,14760000,1111,91111,35,,82,CUARTO,COLEGIALES,13,,,9 de Julio Estudios 2 0,32,78275,5009600,2446,156550,2,64,SEGUNDO,CONSTITUCION,1
CONDE 1400,78,350000,28700000,4487,367949,45,,82,CUARTO,COLEGIALES,13,,,9 de Julio Estudios 2 - UNIDAD E 0,32,75265,4816960,2352,150530,1,64,SEGUNDO,CONSTITUCION,1
"DUMONT, SANTOS 3400",70,249000,20418000,3557,291686,10,,82,CUARTO,COLEGIALES,13,,,Bernardo de Irigoyen al 1400 8 C 0,32,78968,5053952,2468,157936,1,64,SEGUNDO,CONSTITUCION,1
"LACROZE, FEDERICO 3500",57,158000,12956000,2772,227298,25,,82,CUARTO,COLEGIALES,13,,,Bernardo de Irigoyen al 1400 8 G 0,32,71447,4572608,2233,142894,1,64,SEGUNDO,CONSTITUCION,1
"ALVAREZ, THOMAS 1002",162,790000,64780000,4876,399877,5,,82,CUARTO,COLEGIALES,13,,,AVDA BERNARDO DE IRIGOYEN 1428,35,78953,5052992,2467,157906,2,64,SEGUNDO,CONSTITUCION,1
"LACROZE, FEDERICO 3200",52,180000,14760000,3462,283846,25,,82,CUARTO,COLEGIALES,13,,,Bernardo de Irigoyen al 1400 8 F 0,32,71447,4572608,2233,142894,1,64,SEGUNDO,CONSTITUCION,1
"ALVAREZ, THOMAS 1300",260,360000,29520000,1385,113538,43,,82,CUARTO,COLEGIALES,13,,,Irigoyen 1400 0,32,77863,4983232,2433,155726,1,64,SEGUNDO,CONSTITUCION,1
CIUDAD DE LA PAZ 3000,150,515000,42230000,3433,281533,0,,82,CUARTO,NUÑEZ,13,,,Irigoyen 1400 0,32,71915,4602560,2247,143830,1,64,SEGUNDO,CONSTITUCION,1
QUESADA 1800,177,450000,36900000,2542,208475,0,,82,CUARTO,NUÑEZ,13,,,9 de Julio Estudios 2 0,32,88178,5643392,2756,176356,2,64,SEGUNDO,CONSTITUCION,1
CABILDO 4900,50,119900,9831800,2398,196636,0,,82,CUARTO,NUÑEZ,13,,,9 de Julio Estudios 2 0,32,79780,5105920,2493,159560,2,64,SEGUNDO,CONSTITUCION,1
QUESADA 2350,25,155015,12711230,6201,508449,0,,82,CUARTO,NUÑEZ,13,,,9 de Julio Estudios 2 0,32,81286,5202304,2540,162572,2,64,SEGUNDO,CONSTITUCION,1
CABILDO 4800,120,650000,53300000,5417,444167,0,,82,CUARTO,NUÑEZ,13,,,BERNARDO DE IRIGOYEN 1428,35,79254,5072256,2477,158508,1,64,SEGUNDO,CONSTITUCION,1
ARCOS 3588,68,115000,9430000,1691,138676,0,,82,CUARTO,NUÑEZ,13,,,BERNARDO DE IRIGOYEN 1428,35,73383,4696512,2293,146766,1,64,SEGUNDO,CONSTITUCION,1
VIDAL 3500,30,68000,5576000,2267,185867,0,,82,CUARTO,NUÑEZ,13,,,9 de Julio Estudios 2 0,32,76770,4913280,2399,153540,2,64,SEGUNDO,CONSTITUCION,1
CAMPOS SALLES 2350,46,135000,11070000,2935,240652,0,,82,CUARTO,NUÑEZ,13,,,9 de Julio Estudios 2 0,32,82791,5298624,2587,165582,2,64,SEGUNDO,CONSTITUCION,1
AMENABAR 3357,54,190000,15580000,3518,288519,0,,82,CUARTO,NUÑEZ,13,,,9 de Julio Estudios 2 0,32,84296,5394944,2634,168592,2,64,SEGUNDO,CONSTITUCION,1
"JUSTO, JUAN B. 1416",170,149000,12218000,876,71871,0,,82,CUARTO,PALERMO,14,,,9 de Julio Estudios 2 0,32,79860,5111040,2496,159720,2,64,SEGUNDO,CONSTITUCION,1
CORDOBA 4100,180,299000,24518000,1661,136211,8,,82,CUARTO,PALERMO,14,,,9 de Julio Estudios 2 - UNIDAD D 0,32,73205,4685120,2288,146410,1,64,SEGUNDO,CONSTITUCION,1
CABILDO 100,53,89900,7371800,1696,139091,20,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen al 1400 8 H 0,32,78502,5024128,2453,157004,1,64,SEGUNDO,CONSTITUCION,1
"GARCIA, TEODORO 1700",22,59000,4838000,2682,219909,4,,82,CUARTO,PALERMO,14,,,9 de Julio Estudios 2 - UNIDAD E 0,32,73759,4720576,2305,147518,1,64,SEGUNDO,CONSTITUCION,1
AGUILAR 2110,157,580000,47560000,3694,302930,0,,82,CUARTO,PALERMO,14,,,9 de Julio Estudios 2 - UNIDAD D 0,32,74868,4791552,2340,149736,1,64,SEGUNDO,CONSTITUCION,1
CABILDO 400,65,359000,29438000,5523,452892,50,,82,CUARTO,PALERMO,14,,,CARLOS CALVO 1150,37,63600,4070400,1965,125785,1,64,SEGUNDO,CONSTITUCION,1
OLLEROS 190,160,300000,24600000,1875,153750,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen 1400,33,71900,4601600,2204,141067,1,64,SEGUNDO,CONSTITUCION,1
GUATEMALA 4400,700,600000,49200000,857,70286,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen 1400,33,81100,5190400,2486,159117,1,64,SEGUNDO,CONSTITUCION,1
"BORGES, JORGE LUIS 1900",347,850000,69700000,2450,200865,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen 1400,33,74800,4787200,2293,146757,1,64,SEGUNDO,CONSTITUCION,1
URIARTE 2400,77,188000,15416000,2442,200208,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen 1400,33,77800,4979200,2385,152643,1,64,SEGUNDO,CONSTITUCION,1
HONDURAS 4100,40,159900,13111800,3998,327795,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen 1400,33,84350,5398400,2586,165494,1,64,SEGUNDO,CONSTITUCION,1
SOLER 6000,150,700000,57400000,4667,382667,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen 1400,33,73380,4696320,2250,143971,1,64,SEGUNDO,CONSTITUCION,1
ARMENIA 2031,240,600000,49200000,2500,205000,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen 1400,33,85900,5497600,2633,168535,1,64,SEGUNDO,CONSTITUCION,1
GODOY CRUZ 1553,15,100000,8200000,6667,546667,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen 1400,33,77780,4977920,2384,152603,1,64,SEGUNDO,CONSTITUCION,1
"BORGES, JORGE LUIS 1900",347,850000,69700000,2450,200865,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen 1400,33,76300,4883200,2339,149700,1,64,SEGUNDO,CONSTITUCION,1
"SCALABRINI ORTIZ, RAUL 2500",211,980000,80360000,4644,380853,0,,82,CUARTO,PALERMO,14,,,Piedras 1300,36,83131,5320384,2519,161224,2,64,SEGUNDO,CONSTITUCION,1
CABELLO 3402,20,163000,13366000,8150,668300,0,,82,CUARTO,PALERMO,14,,,Piedras 1300,36,85784,5490176,2600,166369,2,64,SEGUNDO,CONSTITUCION,1
EL SALVADOR 4700,134,600000,49200000,4478,367164,0,,82,CUARTO,PALERMO,14,,,Piedras 1300,36,81362,5207168,2466,157793,2,64,SEGUNDO,CONSTITUCION,1
"SCALABRINI ORTIZ, RAUL 1500",230,1300000,106600000,5652,463478,0,,82,CUARTO,PALERMO,14,,,Piedras 1300,36,76056,4867584,2305,147503,2,64,SEGUNDO,CONSTITUCION,1
"SCALABRINI ORTIZ, RAUL 1800",140,799000,65518000,5707,467986,0,,82,CUARTO,PALERMO,14,,,Estados Unidos 1200,37,95000,6080000,2879,184242,1,64,SEGUNDO,CONSTITUCION,1
BULNES 1700,1800,1500000,123000000,833,68333,0,,82,CUARTO,PALERMO,14,,,Constitucion 1700 0,33,57900,3705600,1754,112291,2,64,SEGUNDO,CONSTITUCION,1
EL SALVADOR 4700,134,600000,49200000,4478,367164,0,,82,CUARTO,PALERMO,14,,,Calvo Carlos 1600,36,75500,4832000,2288,146424,1,64,SEGUNDO,CONSTITUCION,1
CABELLO 3400,20,163000,13366000,8150,668300,0,,82,CUARTO,PALERMO,14,,,Santiago Del Estero 1300,36,48000,3072000,1454,93091,2,64,SEGUNDO,CONSTITUCION,1
ARMENIA 2300,145,400000,32800000,2759,226207,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen al 1418 0,36,74500,4768000,2258,144485,2,64,SEGUNDO,CONSTITUCION,1
BONPLAND 2200,93,225000,18450000,2419,198387,0,,82,CUARTO,PALERMO,14,,,Brasil 1500,35,68500,4384000,2076,132848,1,64,SEGUNDO,CONSTITUCION,1
SOLER 6000,150,700000,57400000,4667,382667,0,,82,CUARTO,PALERMO,14,,,Brasil 1500,66,47000,3008000,1424,91152,2,64,SEGUNDO,CONSTITUCION,1
URIARTE 2419,30,132000,10824000,4400,360800,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen al 1400 0,33,85194,5452416,2582,165225,1,64,SEGUNDO,CONSTITUCION,1
"BORGES, JORGE LUIS 2100",255,790000,64780000,3098,254039,0,,82,CUARTO,PALERMO,14,,,Tacuarí y Humberto 1° 0,33,78000,4992000,2364,151273,2,64,SEGUNDO,CONSTITUCION,1
CHARCAS 4700,48,690000,56580000,14375,1178750,0,,82,CUARTO,PALERMO,14,,,Salta y Humberto Primo 0,71,110000,7040000,3333,213333,2,64,SEGUNDO,CONSTITUCION,1
SANTA FE 5200,54,168000,13776000,3111,255111,0,,82,CUARTO,PALERMO,14,,,Humberto 1º al 900 entre Bernardo de Irigoyen y T,33,76124,4871936,2307,147634,1,64,SEGUNDO,CONSTITUCION,1
ARMENIA 2031,240,600000,49200000,2500,205000,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen 1400 0,35,73380,4696320,2224,142313,1,64,SEGUNDO,CONSTITUCION,1
THAMES 2200,29,360000,29520000,12414,1017931,0,,82,CUARTO,PALERMO,14,,,Humberto 1º 959,33,73418,4698752,2225,142386,2,64,SEGUNDO,CONSTITUCION,1
FRAY JUSTO SANTAMARIA DE ORO 2600,120,380000,31160000,3167,259667,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen al 1400 0,33,92240,5903360,2795,178890,1,64,SEGUNDO,CONSTITUCION,1
"SCALABRINI ORTIZ, RAUL 2500",211,980000,80360000,4644,380853,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen al 1400 7 E 0,33,71915,4602560,2179,139472,1,64,SEGUNDO,CONSTITUCION,1
BERUTI 4600,133,395000,32390000,2970,243534,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen al 1400 6 D 0,33,77863,4983232,2360,151007,1,64,SEGUNDO,CONSTITUCION,1
EL SALVADOR 6083,49,369600,30307200,7543,618514,0,,82,CUARTO,PALERMO,14,,,Tacuari 1000,66,99000,6336000,3000,192000,3,64,SEGUNDO,CONSTITUCION,1
ARMENIA 2031,240,600000,49200000,2500,205000,0,,82,CUARTO,PALERMO,14,,,Humberto 1º 959,33,72845,4662080,2207,141275,1,64,SEGUNDO,CONSTITUCION,1
"BORGES, JORGE LUIS 2100",255,790000,64780000,3098,254039,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen al 1400 8 E 0,33,73383,4696512,2224,142319,1,64,SEGUNDO,CONSTITUCION,1
MASON 1100,116,440000,36080000,3793,311034,0,,82,CUARTO,PALERMO,14,,,Bernardo de Irigoyen al 1400 8 D 0,33,81107,5190848,2458,157298,1,64,SEGUNDO,CONSTITUCION,1
"MORA FERNANDEZ, JUAN 4800",36,62000,5084000,1722,141222,0,,82,CUARTO,PALERMO,14,,,Humberto 1° 900,34,75000,4800000,2239,143284,2,64,SEGUNDO,CONSTITUCION,1
"MOREAU DE JUSTO, ALICIA 2000",220,780000,63960000,3546,290727,0,,82,CUARTO,PUERTO MADERO,1,,,Salta 1173 -  12° 2 100,34,77621,4967744,2301,147280,1,64,SEGUNDO,CONSTITUCION,1
SALOTTI MARTHA 500,415,1850000,151700000,4458,365542,0,,82,CUARTO,PUERTO MADERO,1,,,Piedras 1300,37,87553,5603392,2575,164806,2,64,SEGUNDO,CONSTITUCION,1
"VERA PENALOZA, ROSARIO 300",369,3081680,252697760,8351,684818,0,,82,CUARTO,PUERTO MADERO,1,,,ESTADOS UNIDOS 1200,34,90000,5760000,2647,169412,1,64,SEGUNDO,CONSTITUCION,1
LANTERI JULIETA 1700,203,480000,39360000,2364,193892,0,,82,CUARTO,PUERTO MADERO,1,,,Bernardo de Irigoyen al 1418 0,42,83500,5344000,2456,157176,2,64,SEGUNDO,CONSTITUCION,1
MANSO JUANA 100,714,3500000,287000000,4902,401961,0,,82,CUARTO,PUERTO MADERO,1,,,Tacuari 1300,36,93000,5952000,2735,175059,1,64,SEGUNDO,CONSTITUCION,1
ECUADOR 1300,1300,450000,36900000,346,28385,0,,82,CUARTO,RECOLETA,2,,,"Carlos Calvo 1550 ""La Morenita"" 0",37,84000,5376000,2471,158118,1,64,SEGUNDO,CONSTITUCION,1
CHARCAS 3000,72,179000,14678000,2486,203861,12,,82,CUARTO,RECOLETA,2,,,Tacuarí al 1100 0,34,100000,6400000,2941,188235,1,64,SEGUNDO,CONSTITUCION,1
"GUTIERREZ, JUAN MARIA 2576",126,525000,43050000,4167,341667,0,,82,CUARTO,RECOLETA,2,,,"Av, San Juan al 800 0",34,99000,6336000,2912,186353,1,64,SEGUNDO,CONSTITUCION,1
LAPRIDA 1700,112,415000,34030000,3705,303839,3,,82,CUARTO,RECOLETA,2,,,Tacuarí 1500,56,93000,5952000,2735,175059,2,64,SEGUNDO,CONSTITUCION,1
ARENALES 2000,144,260000,21320000,1806,148056,0,,82,CUARTO,RECOLETA,2,,,TACUARI 1296,38,70000,4480000,2059,131765,2,64,SEGUNDO,CONSTITUCION,1
RODRIGUEZ PENA 1500,400,2200000,180400000,5500,451000,0,,82,CUARTO,RECOLETA,2,,,Tacuari al 1100  4° D 0,34,102500,6560000,3015,192941,1,64,SEGUNDO,CONSTITUCION,1
RODRIGUEZ PENA 1500,286,850000,69700000,2972,243706,0,,82,CUARTO,RECOLETA,2,,,Tacuari al 1100  3° E 0,34,101000,6464000,2971,190118,1,64,SEGUNDO,CONSTITUCION,1
"LAS HERAS, GRAL. 2000",489,610000,50020000,1247,102290,32,,82,CUARTO,RECOLETA,2,,,Salta 2000,35,65000,4160000,1857,118857,2,64,SEGUNDO,CONSTITUCION,1
SANTA FE 2700,60,77500,6355000,1292,105917,0,,82,CUARTO,RECOLETA,2,,,Cochabamba 900,38,42900,2745600,1226,78446,3,64,SEGUNDO,CONSTITUCION,1
SANTA FE 2000,250,1500000,123000000,6000,492000,0,,82,CUARTO,RECOLETA,2,,,Av Brasil 1571 0,37,65000,4160000,1857,118857,1,64,SEGUNDO,CONSTITUCION,1
"GUTIERREZ, JUAN MARIA 2576",126,525000,43050000,4167,341667,0,,82,CUARTO,RECOLETA,2,,,Bernardo de Irigoyen al 1418 0,40,80200,5132800,2291,146651,2,64,SEGUNDO,CONSTITUCION,1
CHARCAS 3000,72,179000,14678000,2486,203861,12,,82,CUARTO,RECOLETA,2,,,Independencia al 800 0,34,69500,4448000,2044,130824,2,64,SEGUNDO,MONTSERRAT,1
"PACHECO DE MELO, JOSE ANDRES 2900",144,460000,37720000,3194,261944,5,,82,CUARTO,RECOLETA,2,,,Av Entre Ríos 2100 0,57,77999,4991936,2438,155998,1,64,SEGUNDO,PARQUE PATRICIOS,4
LAPRIDA 1700,112,415000,34030000,3705,303839,3,,82,CUARTO,RECOLETA,2,,,Av San Juan 1800,35,74900,4793600,2270,145261,1,64,SEGUNDO,SAN CRISTOBAL,3
"ANCHORENA, TOMAS M. DE, DR 1573",60,95000,7790000,1583,129833,30,,82,CUARTO,RECOLETA,2,,,Av San Juan 1800,36,75000,4800000,2187,139942,2,64,SEGUNDO,SAN CRISTOBAL,3
DEL LIBERTADOR 1700,81,695000,56990000,8580,703580,50,,82,CUARTO,RECOLETA,2,,,Av. San Juan 800 0,39,84000,5376000,2400,153600,1,64,SEGUNDO,CONSTITUCION,1
SANTA FE 2000,250,1500000,123000000,6000,492000,20,,82,CUARTO,RECOLETA,2,,,Bernardo de Irigoyen 1400,35,78500,5024000,2243,143543,1,64,SEGUNDO,CONSTITUCION,1
SANTA FE 2000,170,1000000,82000000,5882,482353,0,,82,CUARTO,RECOLETA,2,,,9 de Julio Estudios 2 0,35,88566,5668224,2530,161949,2,64,SEGUNDO,CONSTITUCION,1
AYACUCHO 1100,45,230000,18860000,5111,419111,40,,82,CUARTO,RECOLETA,2,,,Bernardo de Irigoyen al 1400 7 H 0,35,76932,4923648,2198,140676,1,64,SEGUNDO,CONSTITUCION,1
SANTA FE 1900,130,1100000,90200000,8462,693846,0,,82,CUARTO,RECOLETA,2,,,Irigoyen 1400 0,35,72222,4622208,2064,132063,1,64,SEGUNDO,CONSTITUCION,1
SANTA FE 1600,300,129000,10578000,430,35260,15,,82,CUARTO,RECOLETA,2,,,9 de Julio Estudios 2 - UNIDAD H 0,35,74073,4740672,2116,135448,1,64,SEGUNDO,CONSTITUCION,1
"PACHECO DE MELO, JOSE ANDRES 2936",79,180000,14760000,2278,186835,0,,82,CUARTO,RECOLETA,2,,,9 de Julio Estudios 2 - UNIDAD H 0,35,75684,4843776,2162,138394,1,64,SEGUNDO,CONSTITUCION,1
PUEYRREDON 2400,156,550000,45100000,3526,289103,30,,82,CUARTO,RECOLETA,2,,,9 de Julio Estudios 2 0,35,86956,5565184,2484,159005,2,64,SEGUNDO,CONSTITUCION,1
AYACUCHO 1626,40,230000,18860000,5750,471500,50,,82,CUARTO,RECOLETA,2,,,Bernardo de Irigoyen al 1400 0,35,87417,5594688,2498,159848,1,64,SEGUNDO,CONSTITUCION,1
"ANCHORENA, TOMAS M. DE, DR 1570",60,95000,7790000,1583,129833,30,,82,CUARTO,RECOLETA,2,,,Bernardo de Irigoyen 1400,35,76900,4921600,2197,140617,1,64,SEGUNDO,CONSTITUCION,1
CORDOBA 1600,118,180000,14760000,1525,125085,70,,82,CUARTO,RECOLETA,2,,,Bernardo de Irigoyen 1400,35,80000,5120000,2286,146286,1,64,SEGUNDO,CONSTITUCION,1
LIBERTAD 1300,51,398000,32636000,7804,639922,35,,82,CUARTO,RETIRO,1,,,9 de Julio Estudios 2 0,35,82125,5256000,2346,150171,2,64,SEGUNDO,CONSTITUCION,1
JUNCAL 1300,36,225000,18450000,6250,512500,0,,82,CUARTO,RETIRO,1,,,9 de Julio Estudios 2 0,35,83735,5359040,2392,153115,2,64,SEGUNDO,CONSTITUCION,1
ARENALES 963,67,199000,16318000,2970,243552,30,,82,CUARTO,RETIRO,1,,,Humberto Primo 900,40,120000,7680000,3429,219429,1,64,SEGUNDO,CONSTITUCION,1
TALCAHUANO 1000,894,500000,41000000,559,45861,19,,82,CUARTO,RETIRO,1,,,AVDA BERNARDO DE IRIGOYEN 1428,35,81642,5225088,2333,149288,2,64,SEGUNDO,CONSTITUCION,1
JUNCAL 1300,79,385000,31570000,4873,399620,60,,82,CUARTO,RETIRO,1,,,9 de Julio Estudios 2 - UNIDAD H 0,35,80515,5152960,2300,147227,1,64,SEGUNDO,CONSTITUCION,1
ALVEAR 1400,350,175000,14350000,500,41000,20,,82,CUARTO,RETIRO,1,,,9 de Julio Estudios 2 0,35,85345,5462080,2438,156059,2,64,SEGUNDO,CONSTITUCION,1
TRES SARGENTOS 300,600,815000,66830000,1358,111383,80,,82,CUARTO,RETIRO,1,,,Bernardo de Irigoyen al 1400 0,35,89277,5713728,2551,163249,1,64,SEGUNDO,CONSTITUCION,1
DEL LIBERTADOR 82,200,200000,16400000,1000,82000,0,,82,CUARTO,RETIRO,1,,,Bernardo de Irigoyen 1100 0,39,83089,5317696,2374,151934,1,64,SEGUNDO,CONSTITUCION,1
MAIPU 834,208,420000,34440000,2019,165577,20,,82,CUARTO,RETIRO,1,,,Bernardo de Irigoyen 1400,35,72200,4620800,2063,132023,1,64,SEGUNDO,CONSTITUCION,1
SUIPACHA 900,230,300000,24600000,1304,106957,55,,82,CUARTO,RETIRO,1,,,Bernardo de Irigoyen 1400,35,81600,5222400,2331,149211,1,64,SEGUNDO,CONSTITUCION,1
"ALVEAR, MARCELO T. De 550",25,49000,4018000,1960,160720,35,,82,CUARTO,RETIRO,1,,,Bernardo de Irigoyen 1400,35,83200,5324800,2377,152137,1,64,SEGUNDO,CONSTITUCION,1
