LOCALES,,,,,,,,,,,,,,DEPARTAMENTOS,,,,,,,,,,
DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,USDM2,PESOSM2,ANTIG,EN_GALERIA,COTIZ_,TRIMESTRE_,BARRIOS_,COMUNA_,,,Direccion,PropiedadS,Dolares,Pesos,DolaresM2,PesosM2,Ambientes,Cotizacion,Trimestre,Barrio,Comunas
BELGRANO 2300,455,699000,44037000,1536,1536,80,NO,63,PRIMER,BALVANERA,3,,,BILLINGHURST 600,30,89000,5696000,2967,189867,2,64,SEGUNDO,ALMAGRO,5
BELGRANO 2400,455,699000,44037000,1536,1536,80,NO,63,PRIMER,BALVANERA,3,,,Humahuaca al 3500 0,30,95000,6080000,3167,202667,1,64,SEGUNDO,ALMAGRO,5
BELGRANO 2600,67,280000,17640000,4179,4179,0,NO,63,PRIMER,BALVANERA,3,,,"MITRE, BARTOLOME 4100",33,89507,5728448,2984,190948,1,64,SEGUNDO,ALMAGRO,5
BELGRANO 3200,107,99000,6237000,925,925,62,NO,63,PRIMER,BALVANERA,3,,,Av Corrientes al 4500 0,30,99000,6336000,3300,211200,1,64,SEGUNDO,ALMAGRO,5
BELGRANO 3300,280,500000,31500000,1786,1786,0,NO,63,PRIMER,BALVANERA,3,,,Don Bosco 3500,31,74000,4736000,2467,157867,2,64,SEGUNDO,ALMAGRO,5
BOULOGNE SUR MER 300,140,250000,15750000,1786,1786,0,NO,63,PRIMER,BALVANERA,3,,,Rawson 345 0,30,108934,6971776,3631,232393,1,64,SEGUNDO,ALMAGRO,5
BOULOGNE SUR MER 400,123,355000,22365000,2886,2886,0,NO,63,PRIMER,BALVANERA,3,,,PRINGLES 400 VTA MONOAMBIENTE 0,34,99000,6336000,3300,211200,1,64,SEGUNDO,ALMAGRO,5
CALLAO 700,546,1300000,81900000,2381,2381,60,NO,63,PRIMER,BALVANERA,3,,,Quito 3900,30,79900,5113600,2663,170453,1,64,SEGUNDO,ALMAGRO,5
CASTELLI 250,60,275000,17325000,4583,4583,10,NO,63,PRIMER,BALVANERA,3,,,Yatay 428,35,55000,3520000,1833,117333,1,64,SEGUNDO,ALMAGRO,5
COMBATE DE LOS POZOS 100,88,160000,10080000,1818,1818,0,NO,63,PRIMER,BALVANERA,3,,,Billinghurst al 200 0,32,78000,4992000,2600,166400,1,64,SEGUNDO,ALMAGRO,5
COMBATE DE LOS POZOS 600,30,90000,5670000,3000,3000,40,NO,63,PRIMER,BALVANERA,3,,,Lambare 1100 0,31,70000,4480000,2333,149333,2,64,SEGUNDO,ALMAGRO,5
